latitude,longitude,historic,start_date,ref:mhs,wikidata,name,mhs:inscription_date,wikipedia
48.12414,-1.21111,building,,PA00090957,Q22991841,,1926-11-05 ,
48.123894,-1.213434,building,15C,PA00090919,Q22991778,,1926-11-05 ,
48.108611,-1.676944,,17C,PA00090748,Q22991021,Grande-Maison des Carmes,1930-03-22 ,
48.479778,-1.441108,castle,17C,PA35000002,Q22976875,Château de la Rouërie,1996-08-07 ,
48.113999,-1.680417,building,16C,PA00090739,Q22927051,,1962-10-09 ,
48.676521,-1.886685,,18C,PA00090773,Q2238952,Malouinière de la Motte-Jean,1980-10-23 ,fr:Château de la Motte-Jean
48.6556,-1.9856,,18C,PA35000012,Q22976885,Malouinière de Rivasselou,2000-07-13 ,
47.948237,-1.991583,,,PA00135272,Q22975937,Enceinte de terre de la Bigotaye,1995-07-19 ,fr:Enceinte de terre de la Bigotais
47.942164,-1.230292,building,16C,PA00090594,Q22926782,,1948-04-05 ,
48.297759,-1.520061,castle,16C,PA00090579,Q22926755,"Château des Fontaines, actuellement ferme",1926-12-15 ,
48.279009,-1.483519,,,PA00090764,Q22991034,Cinq menhirs dans la forêt de Haute-Sève,1900 ,fr:Menhirs de la Forêt de Haute-Sève
48.6511,-2.0247,building,,PA00090828,Q22991314,,1946-02-14 ,
48.123702,-1.213474,building,15C,PA00090923,Q22991789,,1926-11-05 ,
48.646412,-2.025569,building,18C,PA00090848,Q22991477,,1942-01-31 ,
48.575982,-1.954837,,19C,PA00090878,Q3325602,Moulin du Beauchet,1986-12-15 ,fr:Moulin de Beauchet
48.646513,-2.026511,building,18C,PA00090831,Q22991340,Maison (ancienne maison de corsaire),1946-02-14 ,
48.111944,-1.678333,building,18C,PA00090717,Q20202327,,1959-11-06 ,
48.406617,-1.289772,building,16C,PA00090781,Q22991058,Maison ou grange de la Gélinais,1988-08-29 ,fr:Grange de la Gélinais
48.111666,-1.675833,building,17C,PA00090694,Q21777856,Immeuble ou hôtel de Ferron,1967-06-28 ,fr:Hôtel de Ferron
48.12455,-1.20809,building,15C,PA00090938,Q22991815,,1966-01-31 ,
48.299886,-1.458054,castle,17C,PA35000023,Q22976893,Château de la Sécardais,2004-07-22 ,
48.12486,-1.21301,building,,PA00090933,Q22991810,,1943-06-11 ,
48.12435,-1.20673,building,16C,PA00090949,Q22991832,,1943-03-04 ,
48.648693,-2.024832,building,,PA00090857,Q22991545,,1946-02-14 ,
48.12407,-1.2114,building,,PA00090960,Q22991846,,1926-11-05 ,
48.555137,-1.967003,,,PA00090881,Q22991645,Enceinte médiévale dite l'Huitrière,1986-08-13 ,
48.111666,-1.677222,building,18C,PA00090700,Q22102118,Hôtel de Mucé,1959-11-06 ,
48.667569,-1.928831,,18C,PA00125344,Q22968798,Logis de la Mettrie-aux-Houëts,1993-04-29 ,
48.12399,-1.21112,building,,PA00090958,Q22991843,,1926-11-05 ,
48.111111,-1.675556,building,17C,PA00090706,Q22114969,,1967-01-18 ,
48.6345,-2.0181,,18C,PA35000049,Q22976924,Malouinière Le Valmarin,2013-11-14 ,
48.651036,-2.026044,building,17C,PA00090841,Q22991427,,1955-11-04 ,
48.111666,-1.678056,building,18C,PA00090709,Q20202319,,1959-11-06 ,
48.634655,-2.012402,,17C,PA35000014,Q3284591,"Malouinière de la Verderie, à Saint-Servan",2000-07-13 ,fr:Malouinière de la Verderie
47.893643,-1.515727,castle,18C,PA00090538,Q22926640,Château du Plessix (également sur commune de Tresboeuf),,fr:Château du Plessix
48.12403,-1.21107,building,,PA00090956,Q22991840,,1926-11-05 ,
48.391285,-1.25566,archaeological_site,megalith,PA00090780,Q21037356,"Dolmen du Rocher Jacquiaux, ou Jacquau",1921-10-24 ,fr:Dolmen du Rocher Jacquot
48.12467,-1.21192,building,,PA00090937,Q22991814,,1926-11-05 ,
47.723422,-1.731939,wayside_cross,15C,PA00090584,Q22926756,Croix du 15e siècle,1930-03-22 ,fr:Croix monumentale de Grand-Fougeray
47.940847,-1.231011,building,16C,PA00090592,Q22926771,,1948-04-05 ,
48.355041,-1.203716,citywalls,13C,PA00090570,Q22926750,Remparts Nord,1947-01-16 ,
48.12449,-1.20653,building,16C,PA00090950,Q22991834,,1942-07-11 ,
48.664193,-1.901665,yes,13C,PA00090772,Q22991042,Ruines du château du Plessis-Bertrand,1969-12-18 ,
48.162073,-1.979846,,,PA00090642,Q22926985,Restes du calvaire situé dans le cimetière,1913-10-01 ,fr:Croix de cimetière de La Nouaye
48.648364,-2.024836,building,18C,PA00090837,Q22991393,,1950-02-17 ,
48.650281,-2.023475,building,18C,PA00090817,Q15950446,Maison ou hôtel Hay,1942-01-31 ,fr:Hôtel Hay
48.111331,-1.682828,building,17C,PA00090720,Q21809345,,1942-07-04 ,
48.081082,-1.809,castle,17C,PA00135275,Q22975940,Château de Beaumont,1995-03-20 ,
48.261249,-1.393987,castle,13C,PA00090763,Q20083816,,1926-12-15 ,fr:Château de Saint-Aubin-du-Cormier
48.632089,-2.136937,,20C,PA35000065,Q22976945,Club-House du Dinard Golf,2014-10-27 ,fr:Dinard Golf
47.775445,-2.001679,tomb,,PA00090791,Q22991120,Sépulture mégalithique,1975-03-03 ,fr:Sépulture mégalithique de Tréal
47.899024,-1.606321,archaeological_site,megalith,PA00090885,Q3305950,Menhir du Champ de la Pierre et menhir du Champ Horel,1945-05-07 ,fr:Menhir du Champ de la Pierre et menhir du Champ Horel
48.111666,-1.684722,,17C,PA00090688,Q3146275,Ancien hôtel du Bouexic de Pinieuc,1942-07-11 ,fr:Hôtel du Bouexic de Pinieuc
48.6296,-1.8971,,18C,PA35000050,Q22976927,Malouinière Le Grand Val Ernoul,2013-11-14 ,
48.484528,-1.876645,,,PA00090891,Q1798922,"Dolmen, dit Maison des Feins, ou des Fées",1889 ,fr:Maison des Fées
48.12447,-1.20681,building,16C,PA00090948,Q22991830,,1942-07-11 ,
47.941967,-1.230984,building,17C,PA00090595,Q22926795,Maison Hunault,1930-03-22 ,
48.4982,-1.8085,,,PA00090630,Q22926952,Allée couverte de Four-es-Feins,1965-09-23 ,fr:Four-ès-Feins
48.123617,-1.214794,building,,PA00090931,Q22991803,,1926-11-05 ,
48.112499,-1.677222,building,18C,PA00090707,Q21681028,,1942-10-29 ,
48.12405,-1.21157,building,,PA00090962,Q22927088,,1943-06-11 ,
48.646687,-2.024226,building,18C,PA00090823,Q22991273,Maison (ancienne maison de corsaire),1942-01-31 ,
48.12452,-1.21071,building,14C,PA00090920,Q22991782,,1943-06-11 ,
48.123701,-1.213568,building,,PA00090925,Q22991792,,1926-12-15 ,
48.650796,-2.025285,building,,PA00090854,Q22991520,,1946-02-14 ,
48.339225,-1.192515,yes,16C,PA00090556,Q22926737,Chapelle Saint-Pierre-d'Iné,1982-12-29 ,
47.941888,-1.230944,building,17C,PA00090596,Q22926810,Maison Briant,1930-03-22 ,
48.509191,-1.813897,archaeological_site,megalith,PA00090655,Q22927000,Menhir dit La Pierre du Domaine,1889 ,fr:Pierre du Domaine
48.530134,-1.714135,castle,manor,PA35000028,Q22976898,Manoir de la Belle-Noë,2006-01-06 ,fr:Manoir de la Belle-Noë
47.918715,-1.542463,archaeological_site,megalith,PA00090606,Q22926869,Menhir dit de La Pierre des Fées,1963-10-19 ,fr:Menhir de la Pierre des Fées
48.124675,-1.210988,building,,PA00090932,Q22991807,,1928-06-05 ,
48.5625,-1.9292,castle,,PA00090971,Q22926607,,1992-10-02 ,fr:Château de Châteauneuf-d'Ille-et-Vilaine
48.12528,-1.21109,,17C,PA00090904,Q3402893,"Ancien prieuré de bénédictins Notre-Dame, tribunal et école de musique",1987-07-06 ,fr:Prieuré Notre-Dame de Vitré
48.674711,-1.936845,,18C,PA00125345,Q22968799,Logis des Courtils-Launay,1993-08-03 ,
48.114666,-1.681444,building,16C,PA00090741,Q22927076,,1962-10-09 ,
47.99333,-2.14056,,19C,PA35000019,Q3077273,Anciennes forges (également sur commune de Plélan-le-Grand),2001-07-24 ,fr:Forges de Paimpont
48.123547,-1.214579,building,,PA00090930,Q22991800,,1926-11-05 ,
48.111666,-1.676667,,17C,PA00090729,Q3377155,"Immeuble, appelé Petit Hôtel de Chalain",1967-01-18 ,fr:Petit Hôtel de Chalain
48.6726,-1.923986,,17C,PA00135276,Q22975941,La Fosse Hingant,1995-03-20 ,
48.565072,-2.0128,yes,17C,PA00090632,Q22926972,Chapelle Sainte-Anne,1982-12-29 ,fr:Chapelle Sainte-Anne du Minihic-sur-Rance
48.111792,-1.676189,building,17C,PA00090724,Q22927010,,1967-01-18 ,
48.113056,-1.674167,,18C,PA00090674,Q2940957,Ancienne caserne du Bon Pasteur,1971-04-29 ,fr:Caserne du Bon Pasteur
48.434419,-1.357595,castle,17C,PA00090768,Q2971815,Château du Rocher-Portail,1961-09-27 ,fr:Château du Rocher-Portail
48.473284,-1.135497,castle,17C,PA00090621,Q2970005,Château de Monthorin,,fr:Château de Monthorin
47.871485,-1.674433,tomb,,PA00090654,Q22926999,Sépulture mégalithique et tertre,1980-10-13 ,
47.719745,-1.964128,castle,19C,PA35000036,Q22976906,Château du Brossay,2010-06-25 ,fr:Château du Brossay
48.647064,-2.026719,building,18C,PA00090814,Q22991227,Maison ou Hôtel de Brevest,1970-02-09 ,
48.637078,-2.016022,,18C,PA00090818,Q22991242,Ancien hôtel du Pélican,1964-06-05 ,
48.108835,-1.266963,castle,19C,PA35000033,Q2971603,Château du Bois-Bide,2007-08-24 ,fr:Château du Bois-Bide
48.1374,-1.9566,citywalls,15C,PA00090638,Q22926981,,,
48.12453,-1.20802,building,15C,PA35000008,Q22976882,,1965-03-22 ,
48.646736,-2.025394,building,18C,PA00090816,Q22991235,Maison ou Hôtel de la Grassinaye,1946-02-14 ,
48.02208,-1.362058,castle,18C,PA35000011,Q2969914,Château de Monbouan,2000-02-08 ,fr:Château de Monbouan
48.648361,-2.024289,building,17C,PA00090836,Q22991386,,1946-02-14 ,
48.111666,-1.673889,,17C,PA00090671,Q3360922,"Ancienne abbaye Saint-Georges des Bénédictins, ou Palais Saint-Georges",1930-03-22 ,fr:Palais Saint-Georges
47.768284,-1.9989,castle,19C,PA35000032,Q22976905,Château du Val,2007-06-04 ,
48.124061,-1.213284,building,15C,PA00090913,Q22991745,,1926-11-05 ,
48.12456,-1.2078,building,15C,PA00090942,Q22991820,,1966-01-31 ,
48.149105,-1.788502,,,PA00090650,Q22926995,Vieux Pont sur la Flume,1971-04-29 ,fr:Vieux pont sur la Flume
48.111713,-1.676978,building,17C,PA00090726,Q22927015,,1967-08-21 ,
48.1246,-1.2071,building,,PA00090947,Q22991829,,1942-07-11 ,
48.64844,-2.025189,building,18C,PA00090839,Q22991414,,1950-02-17 ,
48.080361,-1.887108,,17C,PA35000058,Q22976938,Domaine d'Artois,2014-05-21 ,
48.549562,-1.755307,building,15C,PA00090548,Q22926709,Maison dite La Guillotière,1930-08-05 ,fr:Maison de La Guillotière
48.113889,-1.680278,building,16C,PA00090689,Q18325773,Maison ou hôtel de Bretagne,1962-10-09 ,
48.00278,-1.77528,bridge,18C,PA00090597,Q3397090,Pont de Pont-Réan,1942-10-28 ,fr:Pont de Pont-Réan
48.111742,-1.676814,building,17C,PA00090728,Q22927018,,1967-08-21 ,
48.647151,-2.024113,building,18C,PA00090824,Q22991283,Maison ou ancien Hôtel Magon de la Larde,1946-02-14 ,
48.112777,-1.675278,building,18C,PA00090693,Q3145825,Hôtel de Cuillé,,fr:Hôtel de Cuillé
48.12263,-1.2118,,19C,PA00090900,Q2330319,Gare,1975-10-29 ,fr:Gare de Vitré
48.631069,-2.01546,castle,manor,PA00090966,Q22927095,Manoir à l'Evêque,1989-12-26 ,
48.103244,-1.344302,castle,manor,PA00090776,Q22991047,Manoir de la Roche,1971-10-11 ,
48.677134,-1.85015,,18C,PA00090515,Q22926598,Ancienne église Saint-Méen,1982-12-29 ,fr:Ancienne église Saint-Méen de Cancale
48.0435,-1.7166,,19C,PA00090524,Q22926605,Fours à chaux,1987-05-21 ,
48.577061,-1.92625,,18C,PA00132552,Q22969190,Malouinière de Launay-Ravilly,1994-10-17 ,fr:Malouinière de Launay-Ravilly
48.35467,-1.20355,,19C,PA00090572,Q3527574,Théâtre municipal,,fr:Théâtre Victor-Hugo (Fougères)
48.650853,-2.025771,building,17C,PA00090868,Q22991612,,1946-02-14 ,
47.778033,-1.965319,,,PA00090790,Q22991113,Ensemble mégalithique dénommé menhirs des Pierres Chevêches,1978-07-21 ,fr:Alignement de Bosné
48.186225,-1.293919,castle,15C,PA00090893,Q2745725,Château du Bois-Cornillé,,fr:Château du Bois-Cornillé
48.6509,-2.0258,building,17C,PA00090845,Q22991464,,1935-03-25 ,
48.344934,-1.348727,castle,13C,PA00090785,Q22991066,"Château de la Haye, ou la Haye-Saint-Hilaire",,fr:Château de la Haye-Saint-Hilaire
48.281272,-1.92632,,,PA00090631,Q22926964,Deux mégalithes,1960-12-28 ,fr:Les Roches du Diable (Miniac-sous-Bécherel)
48.5351,-1.739144,archaeological_site,megalith,PA00090549,Q2661337,Menhir de Champ-Dolent,1889 ,fr:Menhir de Champ-Dolent
47.006392118515,1.4928960800171,,12C,PA00097497,Q1506285,Ancienne abbaye du Landais,,
46.6004,1.515,,,PA00097461,Q22941038,Vestiges gallo-romains,1976-07-13 ,fr:Argentomagus
46.8264955,1.7019973,,12C,PA36000031,Q22996624,Église Saint-Germain,2011-09-20 ,
46.8250561,1.6983526,,,PA36000030,Q22996623,Vestiges du pont  Perrin ,,
46.6004,1.515,,,PA00097492,Q22941068,Vestiges archéologiques situés sous et aux abords du musée archéologique d'Argentomagus,1990-04-05 ,fr:Argentomagus
46.986751900404,1.1747646331787,tower,yes,PA00097306,Q15943890,Tour de César,,fr:Tour de César (Châtillon-sur-Indre)
46.9492,2.0,monastery,convent,PA00097356,Q22940961,"Couvent de la Visitation, dit aussi Château",1948-10-05 ,
46.986638,1.1741094,building,14C,PA00097304,Q22940931,,,
46.8284285,1.7018924,building,12C,PA00097338,,,,
46.5804184,1.9879267,,15C,PA00097316,Q22940940,Puits gothique,,
47.013795572639,1.5625476837158,,,PA00097403,Q22940996,Vestiges d'un camp préhistorique,1982-08-24 ,
46.9484275,1.9914937,building,19C,PA00097362,Q22940966,,1963-07-19 ,
46.637393177833,2.0680689811707,,12C,PA00097474,Q22941048,Ancienne église Saint-Martin,1929-07-13 ,
