latitude,longitude,historic,start_date,ref:mhs,wikidata,name,mhs:inscription_date,wikipedia
43.208673,0.072479,castle,19C,PA00135470,Q22976129,,1995-08-30 ,
42.903889,0.359111,place_of_worship,christian,PA00095320,Q3581422,Église Saint-Exupère,1952-03-07 ,fr:Église Saint-Exupère d'Arreau
42.888556,-0.115917,,19C,PA00095366,,Ancien hôtel d'Angleterre,,
42.7972,0.2869,yes,11C,PA00095436,Q2970834,Ruines du château,1980-06-11 ,fr:Château de Tramezaygues
43.22262,0.406623,,19C,PA00095373,Q22939927,Ancienne mairie-Halle,1984-10-11 ,
43.518299,-0.032068,,11C,PA65000004,Q22893723,Site archéologique de la motte castrale de Hagedet,,
42.977612,-0.088872,building,13C,PA00095416,Q22939961,Maison et grange,1976-11-02 ,
42.8338,0.4032,wayside_cross,16C,PA00095443,Q22939986,Croix monolithe,1955-07-29 ,
43.234411,0.070741,building,,PA00095431,Q22939976,,1979-05-28 ,
43.3733,0.0289,,18C,PA00095410,Q22939955,Site archéologique de Castetbieilh,,
42.906107,0.358947,building,16C,PA00095322,Q22939885,Maison de Saint-Exupère,1928-01-27 ,
43.4557,0.0453,,,PA00095396,Q3324683,Domaine de Saint-Girons,1980-07-07 ,fr:Domaine de Saint-Girons
43.0851,0.3416,archaeological_site,tumulus,PA00095434,Q22939978,Tumulus dit La Croix-La Botte et cinq tumuli,1969-07-22 ,
43.014362,-0.059274,,12C,PA00095411,Q22939956,Ancienne église Sainte-Marie de Lurps,1986-07-30 ,
42.904783,0.359062,building,16C,PA00095321,Q22939884,Maison du 16e siècle,1912-09-03 ,
42.873415,0.337878,building,16C,PA00095310,Q22939871,Maison du 16e siècle,1978-09-06 ,
43.3519,0.2253,,11C,PA00095417,Q2820710,Ancienne abbaye,,fr:Abbaye de Saint-Sever-de-Rustan
43.06384,0.148699,,16C,PA00095338,Q22939899,Ancienne maison de Jeanne d'Albret,1927-08-10 ,
43.0975,-0.058472,,19C,PA00135471,Q7709620,Domaine du sanctuaire de Lourdes,1995-09-21 ,fr:Sanctuaire de Lourdes
42.892694,-0.114167,,19C,PA00095365,Q3096145,Ancienne gare,1981-12-18 ,fr:Gare de Cauterets
43.298034,0.549933,yes,11C,PA00095348,Q22939907,Chapelle Saint-Brice,1977-11-29 ,
43.320413,0.372323,,15C,PA00095438,Q22939983,Ancienne église des Carmes,1977-08-10 ,
42.889278,-0.116194,building,19C,PA00095367,Q22939921,Immeuble Continental Résidence,1984-12-28 ,
43.103595,-0.161775,building,15C,PA65000001,Q22980091,,1996-08-20 ,
43.1036,-0.1608,building,16C,PA00095413,Q22939958,Maison du 16e siècle,1935-04-01 ,
43.206458,0.502528,yes,16C,PA00095399,Q22939945,Chapelle Notre-Dame-de-Garaison et bâtiments conventuels,,
42.974203,-0.191545,yes,15C,PA00095327,Q22939889,Vestiges de la tour,1942-11-19 ,
