latitude,longitude,historic,start_date,ref:mhs,wikidata,name,heritage,mhs:inscription_date,wikipedia
46.398678,0.245647,castle,C14,PA00125701,Q22969131,Château de Cercigny,,,
46.8854801,0.11033535,place_of_worship,christian,PA00105408,Q22955869,Église Notre-Dame,3,1926-06-17 ,
46.8159985,0.54219779,building,C16,PA00105402,Q22955864,Hôtel Sully,3,1929-11-18 ,
46.546982,0.140014,place_of_worship,christian,PA00105555,Q22956186,,3,1935-04-17 ,
46.5820559,0.3485422,,C16,PA00105612,Q22956297,"Ancien Hôtel de Jean Du Moulin de Rochefort, actuellement siège de la DRAC (direction régionale des affaires culturelles) de Poitou-Charentes",,,fr:Famille de Moulin de Rochefort
46.5876569,0.3428801,building,C12,PA86000032,Q22999118,Maison romane,3,2006-09-18 ,
47.013172,0.078538,building,C15,PA00105506,Q22956062,,3,1928-01-27 ,
46.975154,0.60509,,C18,PA00105794,Q22957295,Poste à chevaux,2,1994-12-30 ,
46.455752,0.367535,place_of_worship,christian,PA00105775,Q22957069,,2,1907-12-13 ,
46.581120259374,0.33804416656494,building,C18,PA00105613,Q22956301,Hôtel Joulard-d'Iversais (ancien),3,1970-03-05 ,
46.736996,0.279076,,C13,PA00105418,Q22955879,Ancien château de Gilles de Rais,3,1984-10-08 ,
